Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
6/11/2013,294,284,174,316,138,78,0,0,56,0,348,1688
6/12/2013,270,528,214,478,186,148,0,0,88,0,372,2284
6/13/2013,210,486,198,464,218,102,0,0,70,0,246,1994
6/14/2013,252,460,194,518,230,96,0,0,72,0,292,2114
6/15/2013,254,278,218,584,186,72,0,0,46,0,406,2044
6/16/2013,166,374,148,432,204,78,0,0,42,0,216,1660
6/17/2013,206,374,154,520,220,88,0,0,48,0,236,1846
6/18/2013,218,400,166,478,218,88,0,0,60,0,236,1864
6/19/2013,198,168,164,458,88,72,0,0,38,0,324,1510
6/20/2013,202,360,152,450,200,92,0,0,64,0,216,1736
6/21/2013,204,428,184,476,202,78,0,0,50,0,272,1894
6/22/2013,198,242,190,560,164,56,0,0,34,0,408,1852
6/23/2013,226,306,130,488,216,76,0,0,42,0,184,1668
6/24/2013,192,296,108,460,210,64,0,0,38,0,200,1568
6/25/2013,218,352,144,480,202,68,0,0,42,0,280,1786
6/26/2013,148,402,216,476,154,116,0,0,68,0,376,1956
6/27/2013,140,1000,414,446,142,242,0,0,212,0,474,3070
6/28/2013,232,754,238,422,288,106,0,0,78,0,370,2488
6/29/2013,180,376,184,554,208,74,0,0,42,0,410,2028
6/30/2013,332,716,228,488,268,122,0,0,88,0,288,2530
7/1/2013,350,456,194,498,260,98,0,0,64,0,272,2192
7/2/2013,274,228,162,448,162,44,0,0,28,0,334,1680
7/3/2013,262,482,234,550,246,114,0,0,84,0,320,2292
7/4/2013,142,290,84,364,208,38,0,0,24,0,180,1330
7/5/2013,278,616,208,438,256,102,0,0,92,0,302,2292
7/6/2013,298,258,196,494,160,36,0,0,30,0,372,1844
7/7/2013,230,474,190,432,220,120,0,0,82,0,230,1978
7/8/2013,260,306,138,500,224,84,0,0,44,0,222,1778
7/9/2013,272,482,230,538,228,102,0,0,72,0,360,2284
7/10/2013,218,400,238,512,164,132,0,0,60,0,374,2098
7/11/2013,232,578,228,500,260,126,0,0,84,0,286,2294
7/12/2013,298,646,242,500,248,120,0,0,94,0,360,2508
7/13/2013,260,304,216,596,196,74,0,0,64,0,380,2090
7/14/2013,232,620,220,498,242,164,0,0,116,0,284,2376
7/15/2013,254,556,210,502,252,118,0,0,90,0,274,2256
7/16/2013,236,440,200,496,178,104,0,0,74,0,356,2084
7/17/2013,224,456,226,528,206,140,0,0,110,0,378,2268
7/18/2013,250,640,248,566,284,156,0,0,114,0,322,2580
7/19/2013,300,852,326,544,296,156,0,0,154,0,484,3112
7/20/2013,320,290,256,626,216,70,0,0,54,0,484,2316
7/21/2013,176,516,216,438,226,122,0,0,92,0,280,2066
7/22/2013,274,624,232,490,262,130,0,0,96,0,294,2402
7/23/2013,234,458,242,502,206,92,0,0,98,0,354,2186
7/24/2013,196,0,154,462,86,0,0,0,6,0,420,1324
7/25/2013,200,456,278,468,92,136,0,0,122,0,452,2204
7/26/2013,242,640,278,464,254,98,0,0,140,0,450,2566
7/27/2013,200,0,188,600,142,0,0,0,4,0,476,1610
7/28/2013,2,0,80,500,20,12,0,0,10,0,420,1044
7/29/2013,170,444,122,442,162,54,0,0,46,0,318,1758
7/30/2013,112,534,174,430,138,110,0,0,110,0,286,1894
7/31/2013,166,488,152,454,158,82,0,0,58,0,326,1884
8/1/2013,246,588,170,530,216,114,0,0,68,0,236,2168
8/2/2013,138,552,200,520,162,122,0,0,114,0,262,2070
8/3/2013,102,242,210,704,184,44,0,0,72,0,386,1944
8/4/2013,232,318,104,482,202,60,0,0,28,0,140,1566
8/5/2013,236,322,98,496,208,46,0,0,26,0,156,1588
8/6/2013,80,350,82,52,68,44,0,0,36,0,72,784
8/7/2013,2,0,4,0,4,2,0,0,2,0,4,18
8/8/2013,132,324,24,0,92,14,0,0,6,0,56,648
8/9/2013,2,2,0,0,0,0,0,0,0,0,0,4
8/10/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/11/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/12/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/13/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/17/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/18/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013,2,0,0,0,4,0,0,0,0,0,2,8
8/20/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/21/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/22/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/23/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/24/2013,2,0,0,0,2,0,0,0,0,0,0,4
8/25/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/26/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/27/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/29/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/30/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/31/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/4/2013,0,0,0,0,0,0,0,0,0,0,0,0
