Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
12/30/2013,0,424,1316,488,418,0,0,0,0,0,0,2646
12/31/2013,0,772,2426,882,772,0,0,0,0,0,0,4852
01/01/2014,946,822,3394,796,830,0,0,0,0,0,0,6788
01/02/2014,1036,754,3394,806,798,0,0,0,0,0,0,6788
01/03/2014,990,744,3334,848,756,0,0,0,0,0,0,6672
01/04/2014,990,786,3478,926,778,0,0,0,0,0,0,6958
01/05/2014,958,760,3342,870,756,0,0,0,0,0,0,6686
01/06/2014,958,766,3362,882,756,0,0,0,0,0,0,6724
01/07/2014,974,796,3412,864,778,0,0,0,0,0,0,6824
01/08/2014,982,778,3468,926,784,0,0,0,0,0,0,6938
01/09/2014,918,772,3312,878,744,0,0,0,0,0,0,6624
01/10/2014,988,788,3456,900,780,0,0,0,0,0,0,6912
01/11/2014,942,814,3434,884,796,0,0,0,0,0,0,6870
01/12/2014,968,772,3410,900,770,0,0,0,0,0,0,6820
01/13/2014,980,796,3434,860,804,0,0,0,0,0,0,6874
01/14/2014,1006,788,3582,988,800,0,0,0,0,0,0,7164
01/15/2014,982,780,3514,978,774,0,0,0,0,0,0,7028
01/16/2014,576,464,2124,596,462,0,0,0,0,0,0,4222
