Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
01/24/2014,8,48,16,8,0,0,0,0,0,0,0,80
01/25/2014,0,0,0,0,0,0,0,0,0,0,0,0
01/26/2014,0,0,0,0,0,0,0,0,0,0,0,0
01/27/2014,0,0,0,0,0,0,0,0,0,0,0,0
01/28/2014,0,0,0,0,0,0,0,0,0,0,0,0
01/29/2014,0,0,0,0,0,0,0,0,0,0,0,0
01/30/2014,0,0,0,0,0,0,0,0,0,0,0,0
01/31/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2014,4,0,0,0,0,0,0,0,0,0,0,4
