Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization
cs10v1    ,      40911, 59.62, 18.27, 40.05,  0.31
cs10v2    ,      81871,2958.84,2349.78,600.91,  0.79
cs10v3    ,      32719, 51.62, 16.87, 33.37,  0.33
cs10v4    ,     100303, 43.00, 17.14, 25.51,  0.40
cs10v5    ,      32719, 51.62, 18.67, 31.62,  0.36
cs1n0v1   ,      32718,560.62,206.58,350.04,  0.37
cs1n0v2   ,      32718, 52.00, 12.68, 38.10,  0.24
cs1n0v3   ,      42958,620.38,340.63,276.35,  0.55
cs1n0v4   ,      32718,1517.41,1340.73,174.28,  0.88
cs1n0v6   ,      32718,325.22,226.97, 94.47,  0.70
cs1n1v1   ,      32718, 52.00, 13.27, 37.55,  0.26
cs1n1v2   ,      32718, 52.00, 13.76, 37.06,  0.26
cs1n1v3   ,      32718,699.56,445.11,252.00,  0.64
cs1n1v4   ,      32718, 61.00, 20.83, 39.19,  0.34
cs1n1v5   ,      32718, 52.00, 13.18, 37.63,  0.25
cs1n1v6   ,      32718, 52.00, 17.05, 33.98,  0.33
cs6n0v1   ,       4046, 52.00, 13.62, 37.20,  0.26
cs6n0v2   ,      32718, 52.00, 14.18, 36.65,  0.27
cs6n0v3   ,      42958, 60.00, 15.51, 43.27,  0.26
cs6n0v4   ,      32718, 60.00, 15.03, 43.74,  0.25
cs6n0v5   ,      32718, 60.00, 17.10, 41.69,  0.28
cs6n0v6   ,      32718, 52.00, 13.36, 37.46,  0.26
cs6n1v1   ,       4046, 52.00, 13.48, 37.34,  0.26
cs6n1v2   ,      32718, 52.00, 13.54, 37.28,  0.26
cs6n1v3   ,      32718,450.34, 84.10,362.10,  0.19
cs6n1v4   ,      32718,11202.22,8417.15,2762.41,  0.75
cs6n1v5   ,      32718, 60.00, 16.51, 42.27,  0.28
cs7v1     ,       8143, 52.00, 13.77, 37.06,  0.26
cs7v2     ,     241615,9298.84,6240.12,3030.98,  0.67
cs7v3     ,      32718, 52.69, 17.54, 34.19,  0.33
cs7v4     ,      57295, 52.69, 13.50, 37.98,  0.26
cs7v5     ,      32719, 52.69, 14.47, 37.06,  0.27
cs8v1     ,      40911,291.81,165.09,122.47,  0.57
cs8v2     ,      81871,100.62, 22.44, 74.48,  0.22
cs8v3     ,      32719, 51.62, 18.71, 31.56,  0.36
cs8v4     ,     100303,1301.04,1026.10,270.84,  0.79
cs8v5     ,      32718, 51.62, 20.27, 30.01,  0.39
cs9v1     ,       4047, 34.00, 17.20, 16.65,  0.51
cs9v2     ,     240591,9296.75,6156.33,3108.35,  0.66
cs9v3     ,      90063, 54.61, 20.97, 32.94,  0.38
cs9v4     ,      57543,399.25,248.22,149.59,  0.62
csc03v1   ,      32828,250.28, 52.43,194.80,  0.21
csc03v2   ,      30780,261.28, 65.82,189.89,  0.25
csc03v3   ,      32828,246.28, 61.89,181.67,  0.25
csc03v4   ,      49210,454.53,104.96,343.43,  0.23
csc03v5   ,      32827, 56.03, 11.41, 43.14,  0.20
csc04v1   ,      32828,585.91,245.72,334.22,  0.42
csc04v2   ,      32828, 56.03, 13.02, 41.55,  0.23
csc04v3   ,      32828,246.28, 63.40,179.95,  0.26
csc04v4   ,      32828, 56.03, 11.53, 43.03,  0.21
csc04v5   ,      32828, 56.03, 11.53, 43.03,  0.21
csc05v1   ,      61307,109.19, 31.78, 75.38,  0.29
csc05v10  ,     127867,109.19, 22.62, 84.36,  0.21
csc05v2   ,     122747,141.69, 32.22,105.74,  0.23
csc05v3   ,      81787,109.19, 29.23, 78.06,  0.27
csc05v4   ,      57211,109.19, 31.00, 76.47,  0.28
csc05v5   ,      89979,109.19, 33.90, 73.60,  0.31
csc05v6   ,      77691,109.19, 23.54, 83.46,  0.22
csc05v7   ,      56187,619.06, 58.31,553.60,  0.09
csc05v8   ,     140155,149.69, 30.53,114.90,  0.20
csc05v9   ,      67451,6840.78,5211.53,1610.93,  0.76
csc06v1   ,      61307,7859.50,7001.75,849.08,  0.89
csc06v10  ,     127867,1557.34,898.86,649.51,  0.58
csc06v2   ,     122747,7021.44,5342.85,1662.17,  0.76
csc06v3   ,      81787,4753.84,3367.62,1372.67,  0.71
csc06v4   ,      57211,13986.16,12795.27,1180.13,  0.91
csc06v5   ,      89979,2995.47,2068.95,917.32,  0.69
csc06v6   ,      77691,1928.78,1045.73,874.55,  0.54
csc06v7   ,      56187,3496.75,2520.48,967.34,  0.72
csc06v8   ,     140155,9687.59,8307.20,1365.78,  0.86
csc06v9   ,      67451,109.19, 24.83, 82.26,  0.23
dt3v5     ,      42958, 57.00, 13.10, 42.38,  0.23
dt5v4     ,      40910,298.03, 85.13,208.90,  0.29
dt5v5     ,      40910,1270.41,1010.57,255.84,  0.80
