Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization,Model, MachineID, MachineSN
cs10v1    ,      40911,289.81,154.59,130.95,  0.53,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v2    ,      81871,2956.84,2757.80,194.07,  0.93,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v3    ,      32719, 49.62, 16.93, 31.33,  0.34,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v4    ,     100303, 41.00, 16.90, 23.76,  0.41,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v5    ,      32719, 49.62, 16.75, 31.53,  0.34,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs1n0v1   ,      32718,558.62,206.87,347.77,  0.37,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v2   ,      32718, 50.00, 12.73, 36.07,  0.25,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v3   ,      42958,618.38,345.37,269.67,  0.56,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v4   ,      32718,1515.41,1340.81,172.22,  0.88,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v6   ,      32718,323.22,227.08, 92.37,  0.70,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v1   ,      32718, 50.00, 12.91, 35.92,  0.26,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v2   ,      32718, 50.00, 13.40, 35.43,  0.27,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v3   ,      32718,697.56,443.94,251.16,  0.64,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v4   ,      32718, 59.00, 20.45, 37.58,  0.35,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v5   ,      32718, 50.00, 12.82, 36.01,  0.26,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v6   ,      32718, 50.00, 16.68, 32.37,  0.33,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs6n0v1   ,       4046, 50.00, 13.24, 35.59,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v2   ,      32718, 50.00, 13.92, 34.93,  0.28,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v3   ,      42958, 58.00, 15.11, 41.69,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v4   ,      32718, 58.00, 15.19, 41.61,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v5   ,      32718, 58.00, 16.83, 39.98,  0.29,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v6   ,      32718, 50.00, 12.96, 35.87,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v1   ,       4046, 50.00, 13.09, 35.74,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v2   ,      32718, 50.00, 13.15, 35.68,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v3   ,      32718,448.34, 83.45,360.76,  0.19,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v4   ,      32718,11200.22,6973.65,4192.65,  0.62,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v5   ,      32718, 58.00, 16.25, 40.55,  0.28,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs7v1     ,       8143, 50.00, 13.46, 35.38,  0.27,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v2     ,     241615,9296.84,6238.62,3030.47,  0.67,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v3     ,      32718, 50.69, 17.19, 32.54,  0.34,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v4     ,      57295, 50.69, 13.21, 36.28,  0.26,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v5     ,      32719, 50.69, 18.38, 31.43,  0.36,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs8v1     ,      40911, 57.62, 15.22, 40.69,  0.26,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs8v2     ,      81871, 98.62, 21.83, 73.11,  0.22,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs8v3     ,      32719, 49.62, 16.76, 31.52,  0.34,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs8v4     ,     100303,1299.04,1028.40,266.58,  0.79,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs8v5     ,      32718, 49.62, 18.30, 29.99,  0.37,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs9v1     ,       4047, 32.00, 16.90, 14.96,  0.53,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
cs9v2     ,     240591,9294.75,6155.88,3106.81,  0.66,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
cs9v3     ,      90063, 52.61, 20.51, 31.42,  0.39,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
cs9v4     ,      57543,397.25,247.84,147.98,  0.62,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
csc03v1   ,      32828,248.28, 52.62,192.62,  0.21,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v2   ,      30780,259.28, 66.46,187.28,  0.26,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v3   ,      32828,244.28, 62.15,179.43,  0.25,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v4   ,      49210,452.53,109.60,336.84,  0.24,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v5   ,      32827, 95.28, 11.70, 81.81,  0.12,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc04v1   ,      32828,583.91,245.66,332.30,  0.42,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v2   ,      32828, 54.03, 12.79, 39.80,  0.24,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v3   ,      32828,244.28, 63.75,177.63,  0.26,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v4   ,      32828, 54.03, 11.24, 41.33,  0.21,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v5   ,      32828, 54.03, 11.23, 41.34,  0.21,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc05v10  ,     127867,107.19, 22.26, 82.74,  0.21,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v1   ,      61307,107.19, 31.41, 73.76,  0.29,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v2   ,     122747,139.69, 31.73,104.23,  0.23,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v3   ,      81787,107.19, 28.94, 76.37,  0.27,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v4   ,      57211,107.19, 30.65, 74.83,  0.29,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v5   ,      89979,107.19, 33.45, 72.05,  0.31,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v6   ,      77691,1926.78,1051.67,866.68,  0.55,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v7   ,      56187,617.06, 62.93,547.29,  0.10,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v8   ,     140155,147.69, 30.11,113.34,  0.20,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v9   ,      67451,6838.78,5093.95,1725.59,  0.74,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc06v10  ,     127867,1555.34,929.79,616.83,  0.60,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v1   ,      61307,7857.50,6832.75,1014.76,  0.87,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v2   ,     122747,7019.44,5315.90,1686.92,  0.76,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v3   ,      81787,4751.84,3395.19,1343.33,  0.71,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v4   ,      57211,13984.16,12870.17,1103.83,  0.92,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v5   ,      89979,2993.47,2100.21,884.32,  0.70,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v6   ,      77691,107.19, 27.30, 77.96,  0.25,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v7   ,      56187,3494.75,2506.60,979.13,  0.72,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v8   ,     140155,9685.59,8343.41,1327.87,  0.86,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v9   ,      67451,460.44, 48.21,405.42,  0.10,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
dt3v5     ,      42958, 55.00, 12.80, 40.70,  0.23,rx8640,604bf029-c34e-11df-81c2-07ad079fdd11,USE5032M5T
dt5v4     ,      40910,513.09,157.36,348.51,  0.31,rx8640,388e07c7-2cc9-11e0-8e0a-d2e078f9ac4e,USE1210C8F
dt5v5     ,      40910,1268.41,1017.92,246.27,  0.80,rx8640,388e07c7-2cc9-11e0-8e0a-d2e078f9ac4e,USE1210C8F
