vpar,  dbname,model,
cs01v1,decomm,Superdome 2 16S,
cs01v2,decomm,Superdome 2 16S,
cs01v3,decomm,Superdome 2 16S,
cs01v4,decomm,Superdome 2 16S,
cs01v5,decomm,Superdome 2 16S,
cs01v6,decomm,Superdome 2 16S,
cs01v7,decomm,Superdome 2 16S,
cs01v8,decomm,Superdome 2 16S,
cs01v9,decomm,Superdome 2 16S,
cs01v10,decomm,Superdome 2 16S,
cs01v11,decomm,Superdome 2 16S,
cs02v1,decomm,Superdome 2 16S,
cs02v2,decomm,Superdome 2 16S,
cs02v3,decomm,Superdome 2 16S,
cs02v4,decomm,Superdome 2 16S,
cs02v5,decomm,Superdome 2 16S,
cs02v6,decomm,Superdome 2 16S,
cs02v7,decomm,Superdome 2 16S,
cs02v8,decomm,Superdome 2 16S,
cs02v9,decomm,Superdome 2 16S,
cs02v10,decomm,Superdome 2 16S,
cs02v11,decomm,Superdome 2 16S,
cs10v1,PBEPC,rx8640,
cs10v2,SCLFY,rx8640,
cs10v3,,rx8640,
cs10v4,PPRM,rx8640,
cs10v5,,rx8640,
cs10v6,,rx8640,
cs10v7,,rx8640,
cs10v8,,rx8640,
cs10v9,,rx8640,
cs10v10,,rx8640,
cs10v11,,rx8640,
cs1n0v1,PAGILE9,SD32B,
cs1n0v2,,SD32B,
cs1n0v3,PRD2,SD32B,
cs1n0v4,PRHY,SD32B,
cs1n0v5,PIVR1,SD32B,
cs1n0v6,PWFM,SD32B,
cs1n0v7,,SD32B,
cs1n0v8,,SD32B,
cs1n0v9,,SD32B,
cs1n0v10,,SD32B,
cs1n0v11,,SD32B,
cs1n0v6,PWFM,SD32B,
cs1n1v1,,SD32B,
cs1n1v2,,SD32B,
cs1n1v3,POAR,SD32B,
cs1n1v4,PLAR,SD32B,
cs1n1v5,,SD32B,
cs1n1v6,,SD32B,
cs1n1v7,,SD32B,
cs1n1v8,,SD32B,
cs1n1v9,,SD32B,
cs1n1v10,,SD32B,
cs1n1v11,,SD32B,
cs6n0v1,,SD32B,
cs6n0v2,PHYP,SD32B,does not show up as cluster partner
cs6n0v3,PRD2,SD32B,
cs6n0v4,POAR,SD32B,
cs6n0v5,PWFM,SD32B,
cs6n0v6,,SD32B,
cs6n0v7,,SD32B,
cs6n0v8,,SD32B,does not show up as cluster partner
cs6n0v9,,SD32B,
cs6n0v10,,SD32B,
cs6n0v11,,SD32B,
cs6n1v1,,SD32B,
cs6n1v2,,SD32B,
cs6n1v3,PIVR3,SD32B,
cs6n1v4,PLAR,SD32B,
cs6n1v5,PRHY,SD32B,
cs6n1v6,,SD32B,
cs6n1v7,,SD32B,
cs6n1v8,,SD32B,
cs6n1v9,,SD32B,
cs6n1v10,,SD32B,
cs6n1v11,,SD32B,
cs7v1,,rx8640,
cs7v2,PERP,rx8640,
cs7v3,,rx8640,
cs7v4,j,rx8640,
cs7v5,,rx8640,
cs7v6,,rx8640,
cs7v7,,rx8640,
cs7v8,,rx8640,
cs7v9,,rx8640,
cs7v10,,rx8640,
cs7v11,,rx8640,
cs8v1,PBEPC,rx8640,
cs8v2,SCLFY,rx8640,
cs8v3,,rx8640,
cs8v4,PPRM,rx8640,
cs8v5,,rx8640,
cs8v6,,rx8640,
cs8v7,,rx8640,
cs8v8,,rx8640,
cs8v9,,rx8640,
cs8v10,,rx8640,
cs8v11,,rx8640,
cs9v1,,rx8640,
cs9v2,,rx8640,
cs9v3,,rx8640,
cs9v4,PHYP,rx8640,
cs9v5,,rx8640,
cs9v6,,rx8640,
cs9v7,,rx8640,
cs9v8,,rx8640,
cs9v9,,rx8640,
cs9v10,,rx8640,
cs9v11,,rx8640,
csc03v1,no DB,Superdome2 8s,PAIRS - decommed
csc03v2,no DB,Superdome2 8s,
csc03v3,PBASYS01,Superdome2 8s,
csc03v4,no DB,Superdome2 8s,
csc03v5,rebuilding,Superdome2 8s,
csc03v6,rebuilding,Superdome2 8s,
csc03v7,rebuilding,Superdome2 8s,
csc03v8,rebuilding,Superdome2 8s,
csc03v9,,Superdome2 8s,
csc03v10,,Superdome2 8s,
csc03v11,,Superdome2 8s,
csc04v1,rebuilding,Superdome2 8s,PAIRS - decommed
csc04v2,rebuilding,Superdome2 8s,PBAM - decommed
csc04v3,rebuilding,Superdome2 8s,
csc04v4,rebuilding,Superdome2 8s,
csc04v5,rebuilding,Superdome2 8s,
csc04v6,rebuilding,Superdome2 8s,
csc04v7,rebuilding,Superdome2 8s,
csc04v8,rebuilding,Superdome2 8s,
csc04v9,rebuilding,Superdome2 8s,
csc04v10,rebuilding,Superdome2 8s,
csc04v11,rebuilding,Superdome2 8s,
csc05v1,PBCCD,Superdome2 16s,
csc05v2,PBCOM,Superdome2 16s,
csc05v3,PBCORP,Superdome2 16s,
csc05v4,PBDIA,Superdome2 16s,
csc05v5,PBECO,Superdome2 16s,
csc05v6,PBEPP,Superdome2 16s,
csc05v7,PBMKTG,Superdome2 16s,
csc05v8,PBSUB,Superdome2 16s,
csc05v9,no DB,Superdome2 16s,
csc05v10,PSTBH,Superdome2 16s,
csc05v11,no DB,Superdome2 16s,
csc06v1,PBCCD,Superdome2 16s,
csc06v2,PBCOM,Superdome2 16s,
csc06v3,PBCORP,Superdome2 16s,
csc06v4,PBDIA,Superdome2 16s,
csc06v5,PBECO,Superdome2 16s,
csc06v6,PBEPP,Superdome2 16s,
csc06v7,PBMKTG,Superdome2 16s,
csc06v8,PBSUB,Superdome2 16s,
csc06v9,no DB,Superdome2 16s,
csc06v10,PSTBH,Superdome2 16s,
csc06v11,no DB,Superdome2 16s,
dt3v1,no DB,rx8640,
dt3v2,no DB,rx8640,
dt3v3,no DB,rx8640,
dt3v4,no DB,rx8640,
dt3v5,no DB,rx8640,
dt3v6,no DB,rx8640,
dt3v7,no DB,rx8640,
dt3v8,no DB,rx8640,
dt3v9,no DB,rx8640,
dt3v10,no DB,rx8640,
dt3v11,no DB,rx8640,
dt5v1,no DB,rx8640,
dt5v2,no DB,rx8640,
dt5v3,no DB,rx8640,
dt5v4,no DB,rx8640,
dt5v5,no DB,rx8640,
dt5v6,no DB,rx8640,
dt5v7,no DB,rx8640,
dt5v8,no DB,rx8640,
dt5v9,no DB,rx8640,
dt5v10,no DB,rx8640,
dt5v11,no DB,rx8640,
jonah,PALI,rx7620,
pdb1n1v1,PBASYS02,Superdome2 16s,
pdb1n1v2,PGRID,Superdome2 16s,
pdb1n1v3,PRCAT,Superdome2 16s,
pdb1n1v4,PIFM,Superdome2 16s,
pdb1n1v5,no DB,Superdome2 16s,
pdb1n1v6,,Superdome2 16s,
pdb1n1v7,,Superdome2 16s,
pdb1n1v8,,Superdome2 16s,
pdb1n1v9,,Superdome2 16s,
pdb1n1v10,,Superdome2 16s,
pdb1n1v11,,Superdome2 16s,
psiebl01,PECM PMER,rx7620,
west,POVMS,rx4640,
willard,POVAP POVSD,rx4640,
